Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
64	52132.61	5713.705	62118.37	46009.254	500.0	255999	5579.0703	9139.688	29628.924	-337.29843	5578.9614	9139.7295	29598.992	-382.76904	27.115547	3.0208538	33.678566	6.94339	-5567.307	869860.4	41013.42612528801
65	52290.035	17208.879	96247.41	39440.918	500.0	259999	5813.657	9199.829	27653.291	-608.72833	5813.737	9199.851	27584.312	-885.3876	27.469145	3.0223553	33.83321	2.424923	-5800.967	973945.4	41652.69373869896
66	72196.77	31209.586	134674.03	40014.45	500.0	263999	5938.75	9219.26	27955.5	-283.2013	5944.132	9215.748	28028.857	-473.09613	27.687712	3.0130491	34.090626	5.842821	-5928.231	1386722.5	42305.30663919449
67	59012.97	6330.254	65743.75	47828.723	500.0	267999	6175.1323	9078.788	25590.861	-282.4249	6186.96	9070.657	25778.602	-681.8904	27.943653	3.019806	34.14936	4.431875	-6162.474	1474285.8	42935.08852958679
68	65994.37	16912.81	91706.26	45176.184	500.0	271999	6035.231	8832.688	25617.42	-996.93195	6036.986	8831.5625	25608.705	-1140.0104	27.80906	3.0182414	34.288048	7.574814	-6020.1797	1380049.9	43570.256247997284
69	55543.297	8998.549	67693.875	40718.055	500.0	275999	5685.7705	8779.839	25065.01	0.26710415	5686.932	8779.067	25034.018	2.7585921	27.640917	3.006715	34.199253	6.1240253	-5672.222	1185542.8	44216.223076581955
70	60284.0	14052.36	93138.38	46675.215	500.0	279999	5688.1885	8711.094	25187.045	3.2415438	5688.0366	8711.133	25163.266	2.8180034	27.686953	3.0140955	34.149567	6.2041655	-5674.84	1113418.2	44860.21815943718
71	51249.4	5017.0347	58482.56	43104.066	500.0	283999	5579.4497	8723.75	28256.848	-44.770973	5579.2646	8723.913	28346.332	2.8861003	27.544785	3.02009	33.897057	5.805748	-5569.3115	1091719.4	45524.46333312988
72	53765.703	8199.732	69433.06	43351.043	500.0	287999	5524.202	8823.692	27311.54	0.14634395	5523.9185	8823.795	27309.432	2.266892	27.351284	3.0191028	34.269234	4.406227	-5511.509	1355670.2	46173.003601551056
73	60252.992	15119.364	91378.08	43256.07	500.0	291999	5584.844	8940.898	27792.338	-5.518361	5585.2896	8940.641	27809.344	3.006134	27.3377	3.0127294	33.93638	6.116747	-5574.057	1508182.5	46831.2952568531
74	51336.82	8293.353	64892.746	39508.824	500.0	295999	5503.0874	8824.997	26547.354	3.490678	5502.7925	8825.092	26558.082	2.1123252	27.235086	3.0206757	33.85842	5.58469	-5491.2427	1278747.1	47478.28709292412
75	50170.97	4723.643	56385.027	42148.742	500.0	299999	5468.83	8716.95	25811.209	3.5547822	5469.165	8716.744	25800.69	3.1371982	27.258348	3.0297356	33.97938	6.162898	-5457.887	1104140.1	48129.43046236038
76	49439.06	5887.1665	58882.99	38406.188	500.0	303999	5168.798	8517.7705	25232.559	3.6273167	5168.5327	8517.902	25219.707	-34.848644	26.986282	3.027984	33.26334	6.8229218	-5159.566	994986.2	48769.510732889175
77	53476.664	8311.757	73243.51	44985.75	500.0	307999	5062.4067	8537.866	28104.957	3.6479208	5062.26	8538.013	28405.477	-31.736914	26.840675	3.0293016	33.572605	3.790184	-5053.964	1171426.4	49409.326795101166
78	50340.48	9103.632	72674.15	39520.367	500.0	311999	4985.839	8641.161	25982.096	3.6498606	4985.864	8641.141	26327.836	-28.577616	26.556326	3.0195403	32.96052	7.3055687	-4976.261	990694.44	50047.01340651512
79	61529.906	21504.918	116002.04	45258.66	500.0	315999	5229.9976	8834.259	27406.123	-2.0023751	5229.6304	8834.433	27346.49	-16.654842	26.693314	3.0208757	33.16866	5.4829807	-5218.941	983441.56	50703.327803611755
80	58993.082	15633.084	96569.336	45204.02	500.0	319999	5450.4517	8825.767	26501.615	-104.62465	5450.5996	8825.622	26499.629	-110.03211	26.919508	3.0187886	33.40857	5.7948503	-5438.715	1030008.6	51350.50777029991
81	64477.71	19244.582	98223.12	42468.797	500.0	323999	5653.1875	8719.091	25686.611	-36.78528	5653.634	8718.68	25682.691	-130.78969	27.336166	3.0231752	33.91807	3.9085827	-5640.7646	1006941.7	52000.581971645355
82	58809.906	14885.08	89242.09	42842.605	500.0	327999	5832.269	8558.914	24496.814	-48.474342	5832.491	8558.79	24490.154	3.5286367	27.65495	3.0055041	33.91272	8.637968	-5819.018	812613.4	52655.108577251434
83	58078.527	16023.297	95837.36	40908.855	500.0	331999	6089.9077	8671.911	24866.906	-159.35109	6090.0806	8671.719	24881.652	-32.990433	27.889082	3.0250173	34.1874	5.203455	-6077.2725	927288.6	53310.19947719574
84	53854.414	10833.621	74952.5	39228.316	500.0	335999	5758.9604	8791.752	25693.58	4.146706	5758.811	8791.859	25701.496	3.7183058	27.53664	3.022112	34.07491	6.7550907	-5747.869	1016748.75	53954.93808341026
85	64636.895	30135.486	137046.66	39665.266	500.0	339999	5659.449	8809.71	25261.166	4.1925917	5659.323	8809.813	25299.256	3.766758	27.44671	3.019929	34.273743	7.5746593	-5648.581	1233797.4	54610.33852458
86	53348.836	14571.839	84949.805	38145.78	500.0	343999	5785.359	8811.586	25860.879	4.2423224	5785.51	8811.55	25870.695	3.8184135	27.50446	3.0075035	33.872112	5.773531	-5774.726	1028343.56	55259.061478853226
87	56217.285	14103.345	87369.43	40561.55	500.0	347999	5863.4517	8899.901	26551.54	4.304516	5863.781	8899.725	26530.947	3.8778014	27.575558	3.026102	33.96112	4.093937	-5851.168	918806.56	55918.69146537781
88	57204.406	11700.669	79371.84	42826.188	500.0	351999	5535.7607	8821.518	27394.875	4.353344	5535.646	8821.555	27421.576	3.9207888	27.449158	3.0132177	34.063286	6.3361235	-5524.471	1014797.56	56563.987084150314
89	52351.855	12408.993	76554.336	38595.555	500.0	355999	5528.4243	8841.331	28242.635	4.3817673	5528.0083	8841.552	28151.684	3.9512892	27.534481	3.010229	34.00248	6.9134274	-5517.754	1084719.4	57229.25656795502
90	61530.188	12994.347	75915.95	38914.81	500.0	359999	5552.047	8956.483	25889.375	4.4387774	5551.9204	8956.493	25821.758	4.015423	27.346403	3.0089629	33.729225	6.921833	-5541.076	975258.4	57890.086587667465
91	52915.87	14284.841	88409.9	39811.64	500.0	363999	5516.523	8920.865	25846.195	-17.780167	5516.402	8920.869	25827.629	4.1132426	27.150414	3.0039334	33.538353	9.231988	-5505.369	901952.5	58537.63335084915
92	59791.945	30540.832	139146.03	36772.96	500.0	367999	5655.9546	8936.79	26328.281	4.6537204	5656.2114	8936.645	26361.945	4.234619	27.178852	3.0140083	33.46399	4.9633293	-5644.031	922112.5	59195.30657720566
93	61211.195	12627.495	82675.46	45610.355	500.0	371999	5677.7026	9015.264	26839.572	4.733332	5677.614	9015.267	26812.578	4.309627	27.169062	3.0228524	33.404236	6.424781	-5666.1216	852089.9	59845.3792719841
94	52502.54	7682.7217	66288.15	41145.97	500.0	375999	5721.771	9208.913	27992.066	4.808739	5721.5845	9208.926	28000.463	4.3866153	27.281387	3.0252283	33.557644	0.9319401	-5711.342	1001618.2	60507.30948519707
95	61177.047	15108.561	83324.875	38795.04	500.0	379999	5693.458	9377.165	26964.482	4.8823447	5692.9883	9377.432	26984.025	4.463617	27.110346	3.0230677	33.683887	2.6444168	-5682.3384	1114515.2	61162.120987176895
96	51695.008	12393.566	81309.516	37659.773	500.0	383999	6098.324	9753.328	27729.002	4.9389496	6097.809	9753.595	27742.758	4.528429	27.392706	3.0290554	33.63928	7.4654474	-6086.4683	1270094.1	61801.268468379974
97	52262.434	11659.642	78880.78	38969.824	500.0	387999	6333.3184	10008.687	27874.771	4.97075	6332.9546	10008.942	27915.504	-2.3069124	27.551008	3.0204258	33.995426	5.9891605	-6322.2876	1507674.4	62474.09355044365
98	53593.406	14236.295	87630.42	38297.883	500.0	391999	6312.354	10098.5625	27935.756	-12.720551	6311.795	10098.925	27884.682	4.607341	27.53723	3.0262487	34.272118	2.6637344	-6301.1943	1611247.1	63131.842937231064
99	59364.887	13218.749	84803.71	39507.42	500.0	395999	6320.825	10040.314	28460.684	5.030313	6320.3354	10040.623	28517.99	4.6426897	27.538929	3.01588	34.093323	8.549944	-6308.8594	1616179.0	63770.03743314743
100	58637.297	27748.227	127168.62	37773.75	500.0	399999	6144.3643	9701.291	28231.268	5.0879517	6144.0996	9701.398	28192.027	4.707644	27.379675	3.0178251	33.805138	3.0133305	-6131.603	1233174.8	64414.09231209755
